id,ordemdecompra,categoria,descricao,parcelamento,numcard,datacompra,previsao,qtd,fornecedor,recebido,medida
1014,4200528101,Serralheria,PÉS EM METALON PARA SAPATEIRA - DOURADO SEMI-BRILHO - PAR,0,,,,1,METAL ITALO,2024-09-13,
1015,4200528101,Porta de Aluminio,PORTA EM VIDRO REFLECTA BRONZE - 261X721,0,,2024-09-11,2024-09-26,3,VALTER,2024-10-02,
1016,4200528101,Acessorios Avulsos,PORTA TOALHA CINZA DUPLO FGVTN - TTS40 202,0,,,,1,,2024-09-10,
1017,4200528102,Vidro / Espelho,ESPELHO PRATA 4MM - 1333X333,0,,2024-09-10,2024-09-25,1,VALTER,2024-09-24,
1018,4200528103,Tapeçaria,ESTOFADO EM TECIDO VERDE 3009-08 - 475X1800X50,0,,2024-09-05,2024-10-09,1,RD TAPEÇARIA,2024-10-21,
1019,4200528103,Serralheria,ARCO EM METALON PRA PRATELEIRA,0,,2024-08-30,2024-09-30,2,METAL ITALO,2024-09-13,
1020,4200528103,Serralheria,PÉS EM METALON PARA BANCO BAÚ,0,,2024-08-30,2024-09-30,3,METAL ITALO,2024-09-24,
1021,4200528103,Porta de Aluminio,PORTA COM PERFIL ALUMINIO E VIDRO REFLECTA BRONZE - 870X327,0,,2024-09-11,2024-09-26,4,VALTER,2024-10-01,
1022,4200528104,Porta de Aluminio,PORTA GIRO ESPELHO PRATA - 1043X327,0,,2024-09-11,2024-09-26,2,VALTER,2024-10-01,
1023,4200528104,Porta de Aluminio,PORTA GIRO ESPELHO 4MM JATEADO - 1043X140,0,,2024-09-11,2024-09-26,2,VALTER,2024-10-01,
1024,4220804001,Porta de Aluminio,PORTA DESLIZANTE PERFIL ALUMINIO ESPELHO PRATA - 854X635,0,,2024-09-11,2024-09-26,2,VALTER,2024-10-01,
1025,4210255201,Porta de Aluminio,PORTA ALUMINIO ESPELHO PRATA - 950X607,0,,2024-09-11,2024-09-26,1,VALTER,2024-10-01,
1026,4200543701,Acessorios Avulsos,LIXEIRA DUPLA BLINDADA 2067,0,,,,1,ESTOQUE,2024-08-19,
1027,4210252201,Porta de Aluminio,PORTA ALUMINIO REFLCTA BRONZE - 836X467,0,,2024-09-23,2024-10-08,2,VALTER,2024-10-18,
1028,4210252201,Porta de Aluminio,PORTA ALUMINIO REFLCTA BRONZE - 836X451,0,,2024-09-23,2024-10-08,1,VALTER,2024-10-18,
1029,4210260413,Porta de Aluminio,PORTA PERFIL ALUMINIO 2624X491,0,,,,1,VALTER,2024-08-28,
1030,4210260413,Porta de Aluminio,PORTA PERFIL ALUMINIO 2624X546,0,,,,1,VALTER,2024-08-28,
1031,4210260413,Porta de Aluminio,PORTA PERFIL ALUMINIO 2624X446,0,,,,1,VALTER,2024-08-28,
1032,4210260413,Porta de Aluminio,PORTA PERFIL ALUMINIO DE CANTO 2624X526 S/ PUXADOR,0,,,,1,VALTER,2024-08-28,
1033,4210260413,Porta de Aluminio,PORTA PERFIL ALUMINIO 2624X474,0,,,,1,VALTER,2024-08-28,
1034,4210260413,Porta de Aluminio,PORTA PERFIL ALUMINIO 2624X447,0,,,,4,VALTER,2024-08-28,
1035,4210260413,Porta de Aluminio,PORTA PERFIL ALUMINIO DE CANTO 2624X436 S/ PUXADOR,0,,,,1,VALTER,2024-08-28,
1036,4210260413,Porta de Aluminio,PORTA PERFIL ALUMINIO 2624X554,0,,,,1,VALTER,2024-08-28,
1037,4210260413,Porta de Aluminio,PORTA PERFIL ALUMINIO 2624X556,0,,,,1,VALTER,2024-08-28,
1038,4210260413,Porta de Aluminio,PORTA PERFIL ALUMINIO 2624X497,0,,,,4,VALTER,2024-08-28,
1039,4210260413,Porta de Aluminio,PORTA PERFIL ALUMINIO 2624X496,0,,,,1,VALTER,2024-08-28,
